Source,Target,Type,Label
mantL,meas1,Undirected,Gleiche Gruppe
mantL,mimo,Undirected,Gleiche Gruppe
mantL,minat,Undirected,Gleiche Gruppe
mantL,mlam,Undirected,Gleiche Gruppe
mantL,naku,Undirected,Gleiche Gruppe
mantL,npe,Undirected,Gleiche Gruppe
mantL,tamp,Undirected,Gleiche Gruppe
mantL,veva,Undirected,Gleiche Gruppe
mantL,vmo,Undirected,Gleiche Gruppe
mantL,waem,Undirected,Gleiche Gruppe
mata,matl,Undirected,Gleiche Gruppe
mata,meas1,Undirected,Gleiche Gruppe
mata,mimo,Undirected,Gleiche Gruppe
mata,minat,Undirected,Gleiche Gruppe
mata,mlam,Undirected,Gleiche Gruppe
mata,naku,Undirected,Gleiche Gruppe
mata,npe,Undirected,Gleiche Gruppe
mata,tamp,Undirected,Gleiche Gruppe
mata,veva,Undirected,Gleiche Gruppe
mata,vmo,Undirected,Gleiche Gruppe
mata,waem,Undirected,Gleiche Gruppe
matl,meas1,Undirected,Gleiche Gruppe
matl,mimo,Undirected,Gleiche Gruppe
matl,minat,Undirected,Gleiche Gruppe
matl,mlam,Undirected,Gleiche Gruppe
matl,naku,Undirected,Gleiche Gruppe
matl,npe,Undirected,Gleiche Gruppe
matl,tamp,Undirected,Gleiche Gruppe
matl,veva,Undirected,Gleiche Gruppe
matl,vmo,Undirected,Gleiche Gruppe
matl,waem,Undirected,Gleiche Gruppe
meas1,mimo,Undirected,Gleiche Gruppe
meas1,minat,Undirected,Gleiche Gruppe
meas1,mlam,Undirected,Gleiche Gruppe
meas1,naku,Undirected,Gleiche Gruppe
meas1,npe,Undirected,Gleiche Gruppe
meas1,tamp,Undirected,Gleiche Gruppe
meas1,veva,Undirected,Gleiche Gruppe
meas1,vmo,Undirected,Gleiche Gruppe
meas1,waem,Undirected,Gleiche Gruppe
mimo,minat,Undirected,Gleiche Gruppe
mimo,mlam,Undirected,Gleiche Gruppe
mimo,naku,Undirected,Gleiche Gruppe
mimo,npe,Undirected,Gleiche Gruppe
mimo,tamp,Undirected,Gleiche Gruppe
mimo,veva,Undirected,Gleiche Gruppe
mimo,vmo,Undirected,Gleiche Gruppe
mimo,waem,Undirected,Gleiche Gruppe
minat,mlam,Undirected,Gleiche Gruppe
minat,naku,Undirected,Gleiche Gruppe
minat,npe,Undirected,Gleiche Gruppe
minat,tamp,Undirected,Gleiche Gruppe
minat,veva,Undirected,Gleiche Gruppe
minat,vmo,Undirected,Gleiche Gruppe
minat,waem,Undirected,Gleiche Gruppe
mlam,naku,Undirected,Gleiche Gruppe
mlam,npe,Undirected,Gleiche Gruppe
mlam,tamp,Undirected,Gleiche Gruppe
mlam,veva,Undirected,Gleiche Gruppe
mlam,vmo,Undirected,Gleiche Gruppe
mlam,waem,Undirected,Gleiche Gruppe
