Source,Target,Type,Label
matl,meas1,Undirected,Semester 5
matl,naku,Undirected,Semester 5
matl,veva,Undirected,Semester 5
matl,pro5M,Undirected,Semester 5
ekt,rtL,Undirected,Semester 5
ekt,wueb,Undirected,Semester 5
ekt,thd3,Undirected,Semester 5
ekt,flm3,Undirected,Semester 5
ekt,kt1,Undirected,Semester 5
ekt,mant1,Undirected,Semester 5
ekt,mea,Undirected,Semester 5
ekt,minat,Undirected,Semester 5
ekt,labvM,Undirected,Semester 5
ekt,matl,Undirected,Semester 5
ekt,waem,Undirected,Semester 5
ekt,fkte,Undirected,Semester 5
ekt,meas1,Undirected,Semester 5
ekt,naku,Undirected,Semester 5
ekt,veva,Undirected,Semester 5
ekt,pro5M,Undirected,Semester 5
eeww,rtL,Undirected,Semester 5
eeww,wueb,Undirected,Semester 5
eeww,thd3,Undirected,Semester 5
eeww,flm3,Undirected,Semester 5
eeww,kt1,Undirected,Semester 5
eeww,mant1,Undirected,Semester 5
eeww,mea,Undirected,Semester 5
eeww,minat,Undirected,Semester 5
eeww,labvM,Undirected,Semester 5
eeww,matl,Undirected,Semester 5
eeww,ekt,Undirected,Semester 5
eeww,waem,Undirected,Semester 5
eeww,fkte,Undirected,Semester 5
eeww,meas1,Undirected,Semester 5
eeww,naku,Undirected,Semester 5
eeww,veva,Undirected,Semester 5
eeww,pro5M,Undirected,Semester 5
waem,wueb,Undirected,Semester 5
fkte,rtL,Undirected,Semester 5
fkte,wueb,Undirected,Semester 5
fkte,thd3,Undirected,Semester 5
fkte,flm3,Undirected,Semester 5
fkte,kt1,Undirected,Semester 5
fkte,mant1,Undirected,Semester 5
fkte,mea,Undirected,Semester 5
fkte,minat,Undirected,Semester 5
fkte,labvM,Undirected,Semester 5
fkte,matl,Undirected,Semester 5
fkte,waem,Undirected,Semester 5
fkte,meas1,Undirected,Semester 5
fkte,naku,Undirected,Semester 5
fkte,veva,Undirected,Semester 5
fkte,pro5M,Undirected,Semester 5
meas1,rtL,Undirected,Semester 5
meas1,wueb,Undirected,Semester 5
meas1,thd3,Undirected,Semester 5
meas1,minat,Undirected,Semester 5
meas1,waem,Undirected,Semester 5
meas1,naku,Undirected,Semester 5
meas1,veva,Undirected,Semester 5
meas1,pro5M,Undirected,Semester 5
naku,rtL,Undirected,Semester 5
naku,wueb,Undirected,Semester 5
naku,thd3,Undirected,Semester 5
naku,waem,Undirected,Semester 5
naku,veva,Undirected,Semester 5
naku,pro5M,Undirected,Semester 5
idacu,thd4,Undirected,Semester 6
idacu,kt2,Undirected,Semester 6
idacu,mant2,Undirected,Semester 6
idacu,vmo,Undirected,Semester 6
idacu,mantL,Undirected,Semester 6
idacu,tamp,Undirected,Semester 6
idacu,pro6M,Undirected,Semester 6
mantL,thd4,Undirected,Semester 6
mantL,vmo,Undirected,Semester 6
mantL,tamp,Undirected,Semester 6
mantL,pro6M,Undirected,Semester 6
veva,wueb,Undirected,Semester 5
veva,waem,Undirected,Semester 5
c2ad,thd4,Undirected,Semester 6
c2ad,flm4,Undirected,Semester 6
c2ad,kt2,Undirected,Semester 6
c2ad,dpev2,Undirected,Semester 6
c2ad,mant2,Undirected,Semester 6
c2ad,vmo,Undirected,Semester 6
c2ad,idacu,Undirected,Semester 6
c2ad,mantL,Undirected,Semester 6
c2ad,tamp,Undirected,Semester 6
c2ad,pro6M,Undirected,Semester 6
asimv,thd4,Undirected,Semester 6
asimv,flm4,Undirected,Semester 6
asimv,kt2,Undirected,Semester 6
asimv,dpev2,Undirected,Semester 6
asimv,mant2,Undirected,Semester 6
asimv,vmo,Undirected,Semester 6
asimv,idacu,Undirected,Semester 6
asimv,mantL,Undirected,Semester 6
asimv,c2ad,Undirected,Semester 6
asimv,tamp,Undirected,Semester 6
asimv,pro6M,Undirected,Semester 6
afems,thd4,Undirected,Semester 6
afems,flm4,Undirected,Semester 6
afems,kt2,Undirected,Semester 6
afems,dpev2,Undirected,Semester 6
afems,amat,Undirected,Semester 6
afems,mant2,Undirected,Semester 6
afems,vmo,Undirected,Semester 6
afems,idacu,Undirected,Semester 6
afems,mantL,Undirected,Semester 6
afems,c2ad,Undirected,Semester 6
afems,asimv,Undirected,Semester 6
afems,tamp,Undirected,Semester 6
afems,amp,Undirected,Semester 6
afems,pro6M,Undirected,Semester 6
tamp,thd4,Undirected,Semester 6
tamp,vmo,Undirected,Semester 6
amp,thd4,Undirected,Semester 6
amp,flm4,Undirected,Semester 6
amp,kt2,Undirected,Semester 6
amp,dpev2,Undirected,Semester 6
amp,mant2,Undirected,Semester 6
amp,vmo,Undirected,Semester 6
amp,idacu,Undirected,Semester 6
amp,mantL,Undirected,Semester 6
amp,c2ad,Undirected,Semester 6
amp,asimv,Undirected,Semester 6
amp,tamp,Undirected,Semester 6
amp,pro6M,Undirected,Semester 6
cich,wst,Undirected,Semester 3
cich,dglM,Undirected,Semester 3
cich,elmag,Undirected,Semester 3
cich,werk3,Undirected,Semester 3
cich,phwkL,Undirected,Semester 3
cich,elstk,Undirected,Semester 3
cich,kmk,Undirected,Semester 3
cich,flmM,Undirected,Semester 3
cich,eltM,Undirected,Semester 3
cich,dsf,Undirected,Semester 3
cich,enwi,Undirected,Semester 3
cich,mlam,Undirected,Semester 3
cich,mata,Undirected,Semester 3
cich,mimo,Undirected,Semester 3
cich,npe,Undirected,Semester 3
cich,pro3M,Undirected,Semester 3
cich,dan,Undirected,Semester 5
cich,rtL,Undirected,Semester 5
cich,wueb,Undirected,Semester 5
cich,thd3,Undirected,Semester 5
cich,flm3,Undirected,Semester 5
cich,dpev1,Undirected,Semester 5
cich,kt1,Undirected,Semester 5
cich,mant1,Undirected,Semester 5
cich,mea,Undirected,Semester 5
cich,minat,Undirected,Semester 5
cich,labvM,Undirected,Semester 5
cich,matl,Undirected,Semester 5
cich,ekt,Undirected,Semester 5
cich,eeww,Undirected,Semester 5
cich,waem,Undirected,Semester 5
cich,fkte,Undirected,Semester 5
cich,meas1,Undirected,Semester 5
cich,naku,Undirected,Semester 5
cich,veva,Undirected,Semester 5
cich,pro5M,Undirected,Semester 5
dsf,wst,Undirected,Semester 3
dsf,elmag,Undirected,Semester 3
dsf,werk3,Undirected,Semester 3
dsf,phwkL,Undirected,Semester 3
dsf,elstk,Undirected,Semester 3
dsf,kmk,Undirected,Semester 3
dsf,flmM,Undirected,Semester 3
dsf,eltM,Undirected,Semester 3
dsf,enwi,Undirected,Semester 3
dsf,mlam,Undirected,Semester 3
dsf,mata,Undirected,Semester 3
dsf,mimo,Undirected,Semester 3
dsf,npe,Undirected,Semester 3
dsf,pro3M,Undirected,Semester 3
dsf,rtL,Undirected,Semester 5
dsf,wueb,Undirected,Semester 5
dsf,thd3,Undirected,Semester 5
